,country,article_per_pop_percent,highqual_art_percent
105,Malawi,0.0007103761499941772,3.278688524590164
106,Malaysia,0.0012699406668130401,1.7902813299232736
107,Maldives,0.023634801957653353,2.4390243902439024
108,Mali,0.0006985491671144546,2.5641025641025643
109,Malta,0.023870994655678286,0.0
110,Marshall Islands,0.06727272727272728,2.7027027027027026
111,Martinique,0.01108179419525066,4.761904761904762
112,Mauritania,0.0014280661128699514,3.8461538461538463
113,Mauritius,0.005464653984445535,2.898550724637681
114,Mexico,0.0008494925876063834,0.6487488415199258
115,Federated States of Micronesia,0.036893203883495145,0.0
116,Moldova,0.010367486006327574,0.4694835680751174
117,Monaco,0.11289645032556185,0.0
118,Mongolia,0.0030369701601176496,3.260869565217391
119,Montenegro,0.012049721972748348,4.0
120,Morocco,0.0006095952639137188,0.4807692307692308
121,Mozambique,0.00023313646254274168,0.0
122,Namibia,0.006687885258450506,0.6024096385542169
123,Nauru,0.45119705340699817,0.0
124,Nepal,0.0013409893362816077,0.5319148936170213
125,New Zealand,0.017202884865071533,1.1378002528445006
126,Nicaragua,0.0018524433088470138,1.7241379310344827
127,Nigeria,0.0003767060384053181,0.583941605839416
